##NAMES=Hydroxylbastnasite-(Ce)
##RRUFFID=R060283
##IDEAL CHEMISTRY=CeCO_3_(OH)
##LOCALITY=Trimouns, Luzenac, France
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Brown hexagonal tablet
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060283
##MEASURED CHEMISTRY=(Ce_0.50_Nd_0.24_(La,Pr)_0.23_Y_0.03_)_Σ=1_CO_3_((OH)_0.65_F_0.35_)_Σ=1_
##PIN_ID=M00326
##ORIENTATION=Laser parallel to -c* (0 0 -1). Fiducial mark perpendicular to laser is parallel to a [1 0 0]
984.6120, 228.2300
985.7260, 228.4883
986.8390, 265.7207
987.9520, 221.9272
989.0650, 310.1077
990.1780, 289.2622
991.2910, 358.3914
992.4030, 298.4941
993.5160, 337.5708
994.6280, 357.6206
995.7400, 368.6450
996.8520, 371.6421
997.9640, 396.6130
999.0750, 332.5566
1000.187, 373.4734
1001.298, 407.3672
1002.409, 451.2341
1003.520, 373.0798
1004.631, 351.9009
1005.741, 411.6948
1006.852, 407.4617
1007.962, 399.5513
1009.072, 386.9136
1010.182, 369.5996
1011.292, 336.2722
1012.402, 311.9167
1013.511, 246.5339
1014.621, 231.1377
1015.730, 318.7139
1016.839, 252.2629
1017.948, 228.7837
1019.056, 264.2900
1020.165, 213.7681
1021.273, 203.2234
1022.382, 190.6506
1023.490, 215.0557
1024.598, 170.4331
1025.706, 162.7939
1026.813, 209.9375
1027.921, 242.8350
1029.028, 167.8684
1030.135, 185.5295
1031.242, 196.7346
1032.349, 202.7759
1033.456, 229.4146
1034.562, 217.5454
1035.668, 221.7744
1036.775, 233.6260
1037.881, 266.4619
1038.987, 277.3892
1040.092, 310.8801
1041.198, 324.5884
1042.303, 335.8923
1043.408, 368.1594
1044.514, 411.0984
1045.618, 461.9832
1046.723, 456.8613
1047.828, 449.6396
1048.932, 519.5186
1050.037, 554.2017
1051.141, 516.0068
1052.245, 604.0410
1053.349, 668.5803
1054.452, 644.2627
1055.556, 715.8027
1056.659, 761.3762
1057.762, 835.3977
1058.865, 922.8523
1059.968, 1102.135
1061.071, 1171.890
1062.174, 1218.310
1063.276, 1300.519
1064.378, 1324.992
1065.480, 1445.564
1066.582, 1536.227
1067.684, 1722.290
1068.786, 1959.535
1069.887, 2247.595
1070.988, 2740.018
1072.090, 3699.180
1073.191, 5056.949
1074.291, 7564.519
1075.392, 11533.58
1076.493, 17089.43
1077.593, 24663.82
1078.693, 32991.55
1079.793, 39927.78
1080.893, 43478.33
1081.993, 44031.02
1083.092, 42323.06
1084.192, 41346.24
1085.291, 42296.70
1086.390, 45595.62
1087.489, 48596.20
1088.588, 50106.95
1089.686, 48128.51
1090.785, 44069.52
1091.883, 38561.95
1092.981, 34549.05
1094.079, 33125.75
1095.177, 34973.53
1096.275, 38716.82
1097.373, 43000.54
1098.470, 46380.26
1099.567, 47302.57
1100.664, 45214.21
1101.761, 40511.60
1102.858, 34661.15
1103.954, 27667.21
1105.051, 21098.60
1106.147, 15398.38
1107.243, 10646.00
1108.339, 7269.222
1109.435, 4878.770
1110.531, 3317.169
1111.626, 2302.858
1112.722, 1680.431
1113.817, 1276.515
1114.912, 1072.169
1116.007, 978.8599
1117.101, 808.4634
1118.196, 756.2344
1119.290, 797.7109
1120.385, 697.2427
1121.479, 752.7959
1122.573, 770.4146
1123.666, 638.9558
1124.760, 532.4219
1125.853, 582.8635
1126.947, 437.3882
1128.040, 413.8020
1129.133, 365.2251
1130.226, 337.4453
1131.318, 250.8782
1132.411, 269.0120
1133.503, 240.2935
1134.596, 207.9089
1135.688, 292.7031
1136.780, 226.9768
1137.871, 224.1895
1138.963, 166.4377
1140.054, 189.6836
1141.146, 254.1553
1142.237, 252.4468
1143.328, 200.5571
1144.419, 210.7410
1145.509, 206.1785
1146.600, 216.2668
1147.690, 205.9092
1148.780, 193.4346
1149.870, 192.6172
1150.960, 153.5349
1152.050, 152.7107
1153.139, 136.6582
1154.229, 157.1736
1155.318, 135.1614
1156.407, 140.8538
1157.496, 139.7793
1158.585, 129.5535
1159.674, 121.0457
1160.762, 103.6475
1161.850, 101.7593
1162.939, 91.06348
1164.027, 94.96240
1165.114, 137.7480
1166.202, 132.6611
1167.290, 126.4417
1168.377, 158.3108
1169.464, 133.0930
1170.551, 143.0107
1171.638, 171.7737
1172.725, 80.52295
1173.812, 33.25806
1174.898, 77.97656
1175.984, 85.68115
1177.071, 93.40796
1178.157, 135.0911
1179.242, 78.81738
1180.328, 115.5479
1181.414, 84.19214
1182.499, 12.82324
1183.584, 119.4382
1184.669, 79.04175
1185.754, 46.72144
1186.839, 98.29980
1187.924, 99.86597
