##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00296
##ORIENTATION=Laser parallel to c* (0 0 1). Fiducial mark perpendicular to laser is parallel to a [1 0 0]
1055.349, 407.381
1056.593, 270.291
1057.837, 547.195
1059.081, 394.088
1060.325, 146.973
1061.568, 404.844
1062.812, 320.709
1064.055, 233.568
1065.298, 498.414
1066.540, 128.252
1067.783, 501.078
1069.025, 244.896
1070.267, 156.703
1071.509, 293.502
1072.751, 0.291
1073.993, 180.047
1075.234, 323.791
1076.475, 113.527
1077.716, 358.248
1078.957, 202.957
1080.198, 129.668
1081.438, 392.350
1082.679, 75.982
1083.919, 317.607
1085.159, 391.186
1086.398, 64.250
1087.638, 626.238
1088.877, 396.713
1090.116, 441.178
1091.355, 460.623
1092.594, 35.053
1093.833, 485.459
1095.071, 173.848
1096.309, 128.779
1097.547, 470.484
1098.785, 109.268
1100.023, 57.746
1101.260, 887.871
1102.498, 203.980
1103.735, 344.074
1104.972, 84.148
1106.208, 35.793
1107.445, 368.199
1108.681, 548.174
1109.918, 593.135
1111.154, 121.078
1112.389, 95.998
1113.625, 115.826
1114.860, 81.633
1116.096, 82.586
1117.331, 235.107
1118.566, 6.783
1119.800, 331.500
1121.035, 238.115
1122.269, 21.711
1123.503, 490.271
1124.737, 304.814
1125.971, 224.340
1127.205, 637.848
1128.438, 249.342
1129.671, 588.818
1130.904, 643.279
1132.137, 390.725
1133.370, 716.154
1134.602, 636.570
1135.834, 540.973
1137.066, 1172.623
1138.298, 340.998
1139.530, 534.357
1140.762, 1135.781
1141.993, 447.113
1143.224, 1383.404
1144.455, 695.727
1145.686, 838.025
1146.917, 1184.766
1148.147, 864.039
1149.377, 1222.301
1150.607, 995.801
1151.837, 853.037
1153.067, 1300.969
1154.296, 950.172
1155.526, 1140.359
1156.755, 1261.953
1157.984, 1220.109
1159.213, 1552.307
1160.441, 1516.693
1161.670, 1220.793
1162.898, 1854.156
1164.126, 1348.549
1165.354, 1612.592
1166.581, 1799.344
1167.809, 1422.354
1169.036, 1861.975
1170.263, 1959.619
1171.490, 1705.576
1172.717, 2115.816
1173.943, 1886.189
1175.170, 1837.309
1176.396, 2156.787
1177.622, 1479.660
1178.848, 1983.973
1180.073, 2046.652
1181.299, 1444.229
1182.524, 2193.760
1183.749, 1641.184
1184.974, 1990.746
1186.199, 2265.508
1187.423, 1623.254
1188.648, 2078.816
1189.872, 2062.535
1191.096, 1914.148
1192.320, 2215.125
1193.543, 1684.805
1194.767, 2436.139
1195.990, 2338.797
1197.213, 2112.438
1198.436, 2429.934
1199.659, 2459.555
1200.881, 1969.164
1202.104, 2663.766
1203.326, 1700.359
1204.548, 1986.947
1205.770, 1757.529
1206.991, 1417.100
1208.213, 1776.672
1209.434, 1339.234
1210.655, 1266.793
1211.876, 1495.344
1213.096, 1253.895
1214.317, 1235.439
1215.537, 1180.979
1216.757, 840.516
1217.977, 1177.953
1219.197, 1003.387
1220.417, 617.783
1221.636, 1297.162
1222.855, 467.334
1224.074, 874.396
1225.293, 1034.371
1226.512, 242.211
1227.731, 736.982
1228.949, 876.795
1230.167, 426.367
1231.385, 919.988
1232.603, 465.594
1233.820, 499.678
1235.038, 1098.186
1236.255, 232.674
1237.472, 941.143
1238.689, 953.584
1239.906, 272.068
1241.122, 1194.471
1242.338, 571.855
1243.555, 428.395
1244.771, 1039.738
1245.986, 41.400
1247.202, 1088.076
1248.417, 471.350
1249.633, 320.602
1250.848, 1163.826
1252.063, 446.602
1253.277, 598.555
1254.492, 1259.693
1255.706, 343.803
1256.920, 813.883
1258.134, 1126.676
1259.348, 304.596
1260.562, 795.328
1261.775, 795.830
1262.988, 512.496
1264.201, 1052.508
1265.414, 165.742
1266.627, 760.750
1267.839, 1093.764
1269.052, 224.770
1270.264, 1079.793
1271.476, 554.826
1272.688, 312.875
1273.899, 1284.941
1275.111, 308.035
1276.322, 698.494
1277.533, 985.658
1278.744, 215.867
1279.955, 883.990
1281.165, 811.318
1282.376, 119.721
1283.586, 1136.752
1284.796, 253.320
1286.006, 165.910
1287.215, 702.617
1288.425, 155.656
1289.634, 625.455
1290.843, 465.139
1292.052, 78.461
1293.261, 457.760
1294.469, 476.002
1295.678, 47.980
1296.886, 781.928
1298.094, 342.279
1299.302, 252.375
1300.509, 598.994
1301.717, 290.465
1302.924, 201.012
1304.131, 174.408
1305.338, 177.201
1306.545, 466.215
1307.752, 121.604
1308.958, 110.041
1310.164, 459.656
1311.370, 137.654
1312.576, 252.082
1313.782, 237.912
1314.987, 73.188
1316.193, 815.832
1317.398, 236.900
1318.603, 84.018
1319.807, 968.121
1321.012, 63.789
1322.216, 408.287
1323.421, 478.350
1324.625, 97.393
1325.829, 846.426
1327.032, 398.438
1328.236, 45.451
1329.439, 1006.471
1330.642, 552.484
1331.845, 646.480
1333.048, 1416.539
1334.251, 383.650
1335.453, 1336.852
