##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00488
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
1041.650, 1674.133
1042.897, 1515.039
1044.143, 1666.992
1045.389, 1848.000
1046.634, 1650.059
1047.880, 2042.172
1049.125, 2015.332
1050.371, 1952.551
1051.615, 2703.820
1052.860, 2108.141
1054.105, 2721.516
1055.349, 2863.941
1056.593, 2577.418
1057.837, 2900.949
1059.081, 2918.535
1060.325, 2648.164
1061.568, 2896.848
1062.812, 2647.578
1064.055, 2412.363
1065.298, 2471.195
1066.540, 1975.078
1067.783, 2000.008
1069.025, 1431.984
1070.267, 1591.012
1071.509, 1498.090
1072.751, 872.215
1073.993, 1282.391
1075.234, 1203.613
1076.475, 891.883
1077.716, 1173.203
1078.957, 678.570
1080.198, 947.516
1081.438, 1039.984
1082.679, 618.504
1083.919, 1027.414
1085.159, 865.039
1086.398, 681.723
1087.638, 835.453
1088.877, 440.098
1090.116, 500.941
1091.355, 616.844
1092.594, 403.801
1093.833, 544.188
1095.071, 532.855
1096.309, 351.969
1097.547, 602.137
1098.785, 59.637
1100.023, 243.652
1101.260, 252.008
1102.498, 168.578
1103.735, 259.898
1104.972, 135.434
1106.208, 201.031
1107.445, 229.711
1108.681, 85.543
1109.918, 463.293
1111.154, 316.191
1112.389, 286.160
1113.625, 618.211
1114.860, 289.910
1116.096, 537.102
1117.331, 1090.359
1118.566, 846.824
1119.800, 1060.258
1121.035, 1296.391
1122.269, 1405.984
1123.503, 2006.715
1124.737, 1978.527
1125.971, 2056.477
1127.205, 2482.348
1128.438, 2275.512
1129.671, 3004.844
1130.904, 3059.035
1132.137, 3012.648
1133.370, 3892.441
1134.602, 3857.371
1135.834, 3577.496
1137.066, 4155.148
1138.298, 4327.234
1139.530, 4494.918
1140.762, 3982.719
1141.993, 3702.742
1143.224, 4589.789
1144.455, 3533.117
1145.686, 3997.629
1146.917, 3994.285
1148.147, 3321.082
1149.377, 3976.027
1150.607, 3392.062
1151.837, 3572.168
1153.067, 3668.945
1154.296, 3106.215
1155.526, 3578.559
1156.755, 3911.070
1157.984, 3242.543
1159.213, 3766.102
1160.441, 4019.898
1161.670, 3796.602
1162.898, 4337.387
1164.126, 4105.535
1165.354, 4191.484
1166.581, 4758.332
1167.809, 4306.445
1169.036, 4817.645
1170.263, 4788.820
1171.490, 4378.188
1172.717, 5282.645
1173.943, 4659.188
1175.170, 4578.812
1176.396, 4880.938
1177.622, 4083.738
1178.848, 4562.633
1180.073, 3895.734
1181.299, 3495.805
1182.524, 3956.969
1183.749, 3017.371
1184.974, 3334.719
1186.199, 3235.293
1187.423, 2740.793
1188.648, 2985.387
1189.872, 2716.254
1191.096, 2101.035
1192.320, 2642.887
1193.543, 1899.828
1194.767, 1973.695
1195.990, 1858.324
1197.213, 1622.051
1198.436, 2021.680
1199.659, 1607.688
1200.881, 1249.188
1202.104, 1810.750
1203.326, 1115.371
1204.548, 1288.008
1205.770, 1123.223
1206.991, 738.449
1208.213, 1145.602
1209.434, 646.570
1210.655, 403.438
1211.876, 740.266
1213.096, 281.035
1214.317, 456.754
1215.537, 671.402
1216.757, 180.992
1217.977, 603.512
1219.197, 423.984
1220.417, 195.414
1221.636, 418.824
1222.855, 277.215
1224.074, 468.617
1225.293, 212.047
1226.512, 49.461
1227.731, 565.152
1228.949, 139.984
1230.167, 133.734
1231.385, 466.742
1232.603, 116.348
1233.820, 191.074
1235.038, 67.109
1236.255, 370.758
1237.472, 639.805
1238.689, 748.609
1239.906, 216.957
1241.122, 512.492
1242.338, 477.672
1243.555, 428.598
1244.771, 658.629
1245.986, 198.676
1247.202, 701.859
1248.417, 413.211
1249.633, 462.762
1250.848, 829.457
1252.063, 418.312
1253.277, 574.332
1254.492, 730.496
1255.706, 440.797
1256.920, 707.234
1258.134, 616.797
1259.348, 274.492
1260.562, 994.285
1261.775, 607.199
1262.988, 347.227
1264.201, 1075.367
1265.414, 424.602
1266.627, 784.891
1267.839, 737.230
1269.052, 329.473
1270.264, 1054.766
1271.476, 738.059
1272.688, 679.387
1273.899, 1020.777
1275.111, 503.270
1276.322, 957.844
1277.533, 758.504
1278.744, 356.012
1279.955, 1017.582
1281.165, 707.176
1282.376, 282.809
1283.586, 932.480
1284.796, 358.234
1286.006, 365.062
1287.215, 750.977
1288.425, 63.023
1289.634, 675.074
1290.843, 425.270
1292.052, 90.586
1293.261, 516.027
1294.469, 196.602
1295.678, 98.328
1296.886, 650.211
1298.094, 38.738
1299.302, 73.492
1300.509, 240.906
1301.717, 177.527
1302.924, 669.535
1304.131, 52.414
1305.338, 297.320
1306.545, 482.875
1307.752, 28.289
1308.958, 125.102
1310.164, 486.707
1311.370, 139.301
1312.576, 311.859
1313.782, 493.188
1314.987, 13.316
1316.193, 598.340
1317.398, 484.160
1318.603, 84.137
1319.807, 504.270
1321.012, 44.570
1322.216, 265.039
1323.421, 591.684
1324.625, 227.480
1325.829, 385.551
1327.032, 354.785
1328.236, 52.242
1329.439, 657.934
1330.642, 9.867
1331.845, 504.762
1333.048, 596.043
1334.251, 117.586
1335.453, 730.410
1336.656, 496.484
1337.858, 323.672
1339.060, 1004.359
1340.261, 392.742
1341.463, 208.793
1342.664, 993.480
1343.866, 103.016
1345.067, 753.348
1346.267, 1066.750
1347.468, 391.582
1348.669, 987.918
1349.869, 794.402
1351.069, 431.617
1352.269, 1304.582
1353.469, 610.820
1354.668, 748.078
1355.868, 1240.605
1357.067, 508.195
1358.266, 852.770
1359.465, 835.785
1360.664, 63.855
1361.862, 970.129
1363.061, 725.762
1364.259, 480.102
1365.457, 789.328
1366.655, 92.270
1367.852, 590.641
1369.050, 417.914
1370.247, 202.559
1371.444, 471.371
1372.641, 371.305
1373.838, 0.000
##END=



