##NAMES=Hydroxylbastnasite-(Ce)
##RRUFFID=R060283
##IDEAL CHEMISTRY=CeCO_3_(OH)
##LOCALITY=Trimouns, Luzenac, France
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Brown hexagonal tablet
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060283
##MEASURED CHEMISTRY=(Ce_0.50_Nd_0.24_(La,Pr)_0.23_Y_0.03_)_Σ=1_CO_3_((OH)_0.65_F_0.35_)_Σ=1_
##PIN_ID=M00330
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to c [0 0 1]
915.2630, 41.61768
916.3870, 45.49316
917.5100, 10.41016
918.6330, 34.66553
919.7560, 30.72607
920.8790, 15.77246
922.0010, 8.197998
923.1240, 25.80542
924.2460, 21.20923
925.3680, 2.740479
926.4900, 57.33447
927.6120, 3.534180
928.7340, 49.62280
929.8550, 4.165283
930.9760, 28.07471
932.0980, 87.35986
933.2190, 9.277100
934.3390, 27.88452
935.4600, 57.53394
936.5810, 61.01831
937.7010, 35.57104
938.8210, 58.18018
939.9410, 57.85791
941.0610, 31.60669
942.1810, 5.412109
943.3010, 10.26221
944.4200, 24.16113
945.5390, 21.11597
946.6580, 51.12622
947.7770, 52.20874
948.8960, 6.637207
950.0150, 35.55859
951.1330, 14.82007
952.2510, 48.13647
953.3690, 23.47681
954.4870, 12.94824
955.6050, 26.43042
956.7230, 63.97632
957.8400, 65.60645
958.9580, 1.681152
960.0750, 35.08154
961.1920, 28.09106
962.3090, 11.22339
963.4250, 23.69238
964.5420, 38.32446
965.6580, 17.30176
966.7740, 10.23242
967.8900, 101.1138
969.0060, 50.96143
970.1220, 51.79224
971.2380, 110.5837
972.3530, 24.34155
973.4680, 86.05493
974.5830, 94.73193
975.6980, 101.3735
976.8130, 145.9792
977.9280, 97.55420
979.0420, 104.0942
980.1560, 127.6016
981.2710, 206.0757
982.3850, 190.5190
983.4980, 214.9309
984.6120, 241.3115
985.7260, 190.6611
986.8390, 212.4155
987.9520, 202.2815
989.0650, 204.5476
990.1780, 190.7805
991.2910, 197.9805
992.4030, 239.1633
993.5160, 260.3135
994.6280, 301.4446
995.7400, 275.5442
996.8520, 297.6233
997.9640, 263.6689
999.0750, 378.6887
1000.187, 335.6782
1001.298, 300.6345
1002.409, 229.5574
1003.520, 249.4807
1004.631, 255.7231
1005.741, 279.1292
1006.852, 328.9182
1007.962, 340.6731
1009.072, 370.3936
1010.182, 319.0791
1011.292, 159.7297
1012.402, 227.3425
1013.511, 157.9355
1014.621, 220.4778
1015.730, 236.9849
1016.839, 210.6208
1017.948, 190.0642
1019.056, 164.4810
1020.165, 210.8689
1021.273, 105.4480
1022.382, 169.8193
1023.490, 137.0945
1024.598, 198.1433
1025.706, 157.3403
1026.813, 139.5359
1027.921, 181.6255
1029.028, 190.4829
1030.135, 161.6531
1031.242, 200.4072
1032.349, 176.4941
1033.456, 216.2598
1034.562, 207.1497
1035.668, 219.5547
1036.775, 255.9304
1037.881, 193.9644
1038.987, 371.1917
1040.092, 314.0879
1041.198, 355.3691
1042.303, 330.9041
1043.408, 405.4934
1044.514, 367.0864
1045.618, 411.5967
1046.723, 426.1431
1047.828, 489.0425
1048.932, 488.0825
1050.037, 561.5107
1051.141, 563.5505
1052.245, 575.9875
1053.349, 685.8813
1054.452, 703.3354
1055.556, 803.8904
1056.659, 851.0952
1057.762, 1022.631
1058.865, 1110.277
1059.968, 1095.323
1061.071, 1283.052
1062.174, 1323.326
1063.276, 1393.833
1064.378, 1573.384
1065.480, 1754.052
1066.582, 1926.308
1067.684, 2240.949
1068.786, 2808.172
1069.887, 3666.952
1070.988, 5198.386
1072.090, 7674.245
1073.191, 12066.83
1074.291, 17605.17
1075.392, 25054.97
1076.493, 33255.27
1077.593, 41514.60
1078.693, 47441.22
1079.793, 51112.66
1080.893, 51883.39
1081.993, 51445.65
1083.092, 49998.99
1084.192, 49890.55
1085.291, 50195.68
1086.390, 50935.11
1087.489, 50795.32
1088.588, 49121.84
1089.686, 45347.84
1090.785, 40780.45
1091.883, 37823.62
1092.981, 35731.54
1094.079, 36333.65
1095.177, 38837.98
1096.275, 41707.91
1097.373, 44768.91
1098.470, 46968.27
1099.567, 45985.46
1100.664, 43644.29
1101.761, 38585.42
1102.858, 32255.47
1103.954, 25698.20
1105.051, 19298.85
1106.147, 13702.26
1107.243, 9527.726
1108.339, 6392.103
1109.435, 4209.197
1110.531, 2868.761
1111.626, 2035.761
1112.722, 1535.543
1113.817, 1115.572
1114.912, 933.5200
1116.007, 779.4302
1117.101, 678.3508
1118.196, 686.5122
1119.290, 536.4619
1120.385, 560.4595
1121.479, 514.0200
1122.573, 395.5999
1123.666, 375.9087
1124.760, 318.9905
1125.853, 370.3125
1126.947, 282.1199
1128.040, 317.6033
1129.133, 380.0078
1130.226, 342.2222
1131.318, 259.3328
1132.411, 266.7822
1133.503, 274.2805
1134.596, 267.1116
1135.688, 290.4985
1136.780, 241.7383
1137.871, 257.1238
1138.963, 260.3357
1140.054, 228.6399
1141.146, 217.7876
1142.237, 288.9138
1143.328, 264.6694
1144.419, 136.2649
1145.509, 256.1128
1146.600, 277.1816
1147.690, 100.9409
1148.780, 209.9084
1149.870, 176.1077
1150.960, 160.9412
1152.050, 86.97607
1153.139, 125.0193
1154.229, 179.6719
1155.318, 166.0564
1156.407, 201.7783
1157.496, 192.1738
1158.585, 124.3872
1159.674, 164.9480
1160.762, 101.5793
1161.850, 123.0742
1162.939, 204.7473
1164.027, 172.8098
1165.114, 177.0305
1166.202, 187.6575
1167.290, 142.3044
1168.377, 126.0359
1169.464, 84.55176
1170.551, 80.24780
1171.638, 74.83911
1172.725, 103.9712
1173.812, 96.62769
1174.898, 118.2759
1175.984, 120.9946
1177.071, 102.5515
1178.157, 129.6326
1179.242, 138.1511
1180.328, 136.7263
1181.414, 49.29224
1182.499, 96.83447
1183.584, 21.41504
1184.669, 41.91772
1185.754, 89.40186
1186.839, 77.87305
1187.924, 82.32764
1189.008, 127.7734
1190.092, 79.20654
1191.177, 61.64160
1192.260, 85.25317
1193.344, 80.67480
1194.428, 48.08374
1195.512, 59.72363
1196.595, 111.9031
1197.678, 60.36865
