##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
##PIN_ID=M01870
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to c [0 0 1]
831.2510, 9335.466
832.3860, 8787.273
833.5220, 8466.773
834.6570, 8102.922
835.7930, 7765.939
836.9280, 7567.832
838.0630, 7417.477
839.1980, 7207.602
840.3320, 7111.086
841.4670, 7051.967
842.6010, 7005.428
843.7350, 7023.368
844.8690, 7014.580
846.0030, 7190.404
847.1370, 7079.823
848.2700, 7133.197
849.4040, 7206.715
850.5370, 7173.314
851.6700, 7352.878
852.8030, 7381.122
853.9360, 7441.827
855.0680, 7700.110
856.2000, 7660.755
857.3330, 8167.417
858.4650, 8323.726
859.5970, 8785.785
860.7290, 9188.928
861.8600, 10073.85
862.9920, 10879.48
864.1230, 11826.44
865.2540, 13278.17
866.3850, 15011.19
867.5160, 17027.37
868.6460, 19695.57
869.7770, 22542.78
870.9070, 26165.01
872.0370, 30160.24
873.1670, 34967.52
874.2970, 39359.81
875.4270, 43651.11
876.5570, 48027.45
877.6860, 50998.79
878.8150, 52446.16
879.9440, 52236.56
881.0730, 50113.97
882.2020, 46564.39
883.3300, 41780.85
884.4590, 36883.31
885.5870, 32147.80
886.7150, 27295.32
887.8430, 23287.85
888.9710, 19529.41
890.0990, 16581.98
891.2260, 14021.58
892.3530, 12266.20
893.4810, 10546.84
894.6080, 9033.503
895.7340, 8202.188
896.8610, 7160.897
897.9880, 6433.628
899.1140, 5901.381
900.2400, 5479.158
901.3660, 4999.958
902.4920, 4818.781
903.6180, 4427.629
904.7430, 4177.499
905.8690, 3846.392
906.9940, 3769.310
908.1190, 3527.251
909.2440, 3299.217
910.3690, 3140.207
911.4930, 2877.221
912.6180, 2706.260
913.7420, 2597.464
914.8660, 2419.783
915.9900, 2332.896
917.1140, 2225.418
918.2380, 2027.050
919.3610, 1928.865
920.4850, 1832.303
921.6080, 1720.892
922.7310, 1595.223
923.8540, 1539.505
924.9760, 1490.095
926.0990, 1411.947
927.2210, 1385.184
928.3440, 1320.138
929.4660, 1243.887
930.5880, 1137.974
931.7090, 1228.538
932.8310, 1074.419
933.9520, 1219.197
935.0740, 1140.812
936.1950, 1127.333
937.3160, 1077.666
938.4360, 1124.302
939.5570, 1132.182
940.6780, 1200.396
941.7980, 1200.321
942.9180, 1351.290
944.0380, 1329.933
945.1580, 1400.089
946.2780, 1462.150
947.3970, 1366.521
948.5170, 1366.000
949.6360, 1318.396
950.7550, 1245.270
951.8740, 1017.786
952.9930, 988.6157
954.1110, 873.2253
955.2300, 845.5151
956.3480, 695.8826
957.4660, 624.9971
958.5840, 546.5342
959.7020, 466.5349
960.8190, 378.7991
961.9370, 333.5618
963.0540, 313.5540
964.1710, 280.2710
965.2880, 367.6606
966.4050, 436.8103
967.5220, 432.5039
968.6380, 557.6821
969.7550, 675.8887
970.8710, 711.3276
971.9870, 844.7354
973.1030, 916.8860
974.2190, 1041.556
975.3340, 1148.379
976.4500, 1239.622
977.5650, 1330.888
978.6800, 1408.570
979.7950, 1486.344
980.9100, 1562.939
982.0250, 1639.596
983.1390, 1692.225
984.2530, 1705.874
985.3680, 1816.542
986.4820, 1831.236
987.5950, 1943.964
988.7090, 1853.721
989.8230, 1904.500
990.9360, 1999.296
992.0490, 1982.113
993.1620, 2119.959
994.2750, 2161.823
995.3880, 2280.707
996.5010, 2317.609
997.6130, 2480.529
998.7250, 2527.466
999.8370, 2573.422
1000.949, 2779.400
1002.061, 2906.393
1003.173, 3043.402
1004.284, 3074.734
1005.396, 3177.465
1006.507, 3027.519
1007.618, 2908.588
1008.729, 2788.671
1009.839, 2410.769
1010.950, 2125.881
1012.060, 1736.008
1013.171, 1501.148
1014.281, 1241.302
1015.391, 1042.470
1016.500, 861.9988
1017.610, 677.8452
1018.719, 561.0532
1019.829, 491.2742
1020.938, 372.5100
1022.047, 338.7590
1023.156, 264.0222
1024.264, 191.2983
1025.373, 208.5874
1026.481, 211.9043
1027.589, 181.2417
1028.697, 162.5955
1029.805, 199.9600
1030.913, 112.3374
1032.020, 75.72632
1033.128, 149.1257
1034.235, 186.5361
1035.342, 152.9565
1036.449, 53.38745
1037.556, 91.82886
1038.663, 77.27979
1039.769, 44.73999
1040.875, 52.21021
1041.981, 117.6899
1043.087, 57.17969
1044.193, 59.67822
1045.299, 5.185547
1046.404, 9.297363
1047.510, 13.93213
1048.615, 12.75977
1049.720, 19.70142
1050.825, 22.16040
1051.930, 26.61597
1053.034, 62.06592
1054.139, 16.52100
1055.243, 2.976563
1056.347, 89.42090
1057.451, 10.89355
1058.555, 19.36353
1059.658, 27.83325
1060.762, 60.22974
1061.865, 35.62866
1062.968, 19.13037
1064.071, 64.56250
1065.174, 33.03418
1066.277, 47.79199
1067.380, 25.09668
1068.482, 35.65771
1069.584, 15.17554
1070.686, 18.32910
1071.788, 9.724121
1072.890, 25.85425
1073.992, 52.44434
1075.093, 67.06030
1076.194, 27.71118
1077.295, 38.62378
1078.396, 30.04102
1079.497, 80.72363
1080.598, 3.556396
1081.698, 21.83276
1082.799, 34.89233
1083.899, 22.35767
1084.999, 3.608643
1086.099, 70.85376
1087.199, 75.90186
1088.298, 13.29248
1089.398, 27.48242
1090.497, 70.33008
1091.596, 22.19214
1092.695, 7.922119
1093.794, 1.027588
1094.892, 60.11890
1095.991, 10.79443
1097.089, 19.72925
1098.187, 33.31299
1099.285, 52.65112
1100.383, 42.65942
1101.481, 9.709961
1102.579, 75.78540
1103.676, 31.92114
1104.773, 46.09473
1105.870, 4.685791
1106.967, 3.446533
1108.064, 49.81445
1109.161, 19.12427
1110.257, 36.46899
1111.353, 38.85669
1112.449, 41.71191
1113.545, 14.27148
1114.641, 108.8110
1115.737, 79.34204
1116.832, 162.8635
1117.928, 204.3760
1119.023, 267.8787
1120.118, 283.3718
1121.213, 243.8550
1122.308, 263.3286
1123.402, 276.7913
1124.497, 258.2434
1125.591, 246.6846
1126.685, 184.1152
1127.779, 155.5349
1128.873, 90.94287
1129.967, 86.34033
1131.060, 151.7332
1132.153, 149.1143
1133.247, 218.4834
1134.340, 160.8408
1135.433, 201.1860
1136.525, 186.5190
1137.618, 156.8403
1138.710, 229.1489
1139.802, 217.4448
1140.895, 300.7280
1141.987, 150.9983
1143.078, 273.2554
1144.170, 262.4993
1145.261, 283.7302
1146.353, 369.9473
1147.444, 250.1504
1148.535, 294.3396
1149.626, 355.6309
1150.716, 320.8730
1151.807, 314.4834
1152.897, 307.8303
1153.988, 334.3521
1155.078, 331.1621
1156.168, 307.8633
1157.257, 341.7798
1158.347, 340.8979
1159.436, 318.9226
1160.526, 292.9514
1161.615, 371.4431
1162.704, 278.4407
1163.793, 330.5193
1164.881, 280.5432
1165.970, 358.5249
1167.058, 290.5098
1168.147, 352.5486
1169.235, 239.4495
1170.323, 298.3333
1171.410, 262.4143
1172.498, 355.3572
1173.585, 259.4521
1174.673, 263.2693
1175.760, 238.1794
1176.847, 234.4360
1177.934, 298.7739
1179.020, 205.2917
1180.107, 226.0876
1181.193, 194.4167
1182.279, 250.9890
1183.365, 142.3813
1184.451, 135.2898
1185.537, 136.7764
1186.623, 212.7759
1187.708, 250.9863
